"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.355578130E-1,-5.383851007E-2,2.458625287E-1,9.987043381E0,9.990214335E0
5.380616670E-1,-2.033899166E-2,2.745763958E-1,9.943972588E0,9.947783507E0
5.405655210E-1,-1.555334684E-2,3.176472187E-1,9.896116257E0,9.901225107E0
5.430598960E-1,-2.033899166E-2,2.793620527E-1,9.943972588E0,9.947916749E0
5.455541670E-1,-4.905286431E-2,2.410768867E-1,9.948758125E0,9.951799460E0
5.480485420E-1,-2.991028316E-2,2.745763958E-1,9.924830437E0,9.928672923E0
5.505429170E-1,-5.383851007E-2,2.506481707E-1,9.972686768E0,9.975981378E0
5.530372400E-1,-5.383851007E-2,2.697907388E-1,9.939187050E0,9.942993756E0
5.555319270E-1,-2.991028316E-2,3.080759048E-1,9.977472305E0,9.982272236E0
5.580321360E-1,-4.426721856E-2,2.602194548E-1,9.977472305E0,9.980963248E0
5.605322920E-1,-5.982056726E-3,2.745763958E-1,9.963115692E0,9.966900334E0
5.630269790E-1,-6.819544733E-2,2.602194548E-1,9.958329201E0,9.961961918E0
5.655215630E-1,-5.862415582E-2,2.793620527E-1,9.963115692E0,9.967203933E0
5.680162500E-1,-1.076770201E-2,2.650051117E-1,9.934401512E0,9.937941289E0
5.705109380E-1,-5.862415582E-2,2.889333367E-1,9.934401512E0,9.938775210E0
5.730055730E-1,-5.383851007E-2,2.889333367E-1,9.934401512E0,9.938748134E0
5.754994270E-1,-3.469592705E-2,2.650051117E-1,9.967901230E0,9.971483663E0
5.779784900E-1,-6.819544733E-2,2.697907388E-1,9.924830437E0,9.928730879E0
5.804575000E-1,-3.469592705E-2,2.650051117E-1,9.929615974E0,9.933212215E0
5.829513540E-1,-5.383851007E-2,3.032902777E-1,9.958329201E0,9.963092093E0
5.854451040E-1,-3.469592705E-2,2.841476798E-1,9.967901230E0,9.972010762E0
5.879389590E-1,-5.982056726E-3,2.697907388E-1,9.953543663E0,9.957201127E0
5.904328130E-1,-1.555334684E-2,2.697907388E-1,9.934401512E0,9.938076391E0
5.929266150E-1,-2.991028316E-2,2.650051117E-1,9.943972588E0,9.947548098E0
5.954209380E-1,-6.340979785E-2,2.410768867E-1,9.967901230E0,9.971017691E0
5.979242190E-1,-6.340979785E-2,2.745763958E-1,9.958329201E0,9.962315668E0
6.004275000E-1,-4.426721856E-2,2.602194548E-1,9.972686768E0,9.976179385E0
6.029218230E-1,-4.905286431E-2,2.554338276E-1,9.967901230E0,9.971294176E0
6.054161460E-1,-2.033899166E-2,2.841476798E-1,9.948758125E0,9.952835868E0
6.079104690E-1,-5.862415582E-2,3.032902777E-1,9.939187050E0,9.943986172E0
6.104047920E-1,-4.905286431E-2,2.889333367E-1,9.967901230E0,9.972208561E0
6.128991150E-1,-4.426721856E-2,2.458625287E-1,9.920044899E0,9.923189949E0
6.153941670E-1,-3.948157281E-2,2.650051117E-1,9.934401512E0,9.938013881E0
6.179020840E-1,-2.512463741E-2,2.745763958E-1,9.939187050E0,9.943010744E0
6.204100000E-1,-5.862415582E-2,2.602194548E-1,9.896116257E0,9.899710497E0
